doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
thong-tu-08-2021-tt-bgddt,data/k3_university/thong-tu-08-2021-tt-bgddt.md,Thông tư 08/2021/TT-BGDĐT - Quy chế đào tạo trình độ đại học,https://thuvienphapluat.vn/van-ban/Giao-duc/Thong-tu-08-2021-TT-BGDDT-Quy-che-dao-tao-trinh-do-dai-hoc-468202.aspx,2026-08-03,08/2021/TT-BGDĐT,public-page
thong-tu-16-2015-tt-bgddt,data/k3_university/thong-tu-16-2015-tt-bgddt.md,Thông tư 16/2015/TT-BGDĐT - Quy định đánh giá kết quả rèn luyện sinh viên,https://thuvienphapluat.vn/van-ban/Giao-duc/Thong-tu-16-2015-TT-BGDDT-Quy-dinh-danh-gia-ket-qua-ren-luyen-cua-hoc-sinh-sinh-vien-276686.aspx,2026-08-03,16/2015/TT-BGDĐT,public-page
thong-tu-10-2016-tt-bgddt,data/k3_university/thong-tu-10-2016-tt-bgddt.md,Thông tư 10/2016/TT-BGDĐT - Quy chế công tác sinh viên đại học chính quy,https://thuvienphapluat.vn/van-ban/Giao-duc/Thong-tu-10-2016-TT-BGDDT-Quy-che-cong-tac-sinh-vien-dai-hoc-he-chinh-quy-308726.aspx,2026-08-03,10/2016/TT-BGDĐT,public-page
nghi-dinh-81-2021-nd-cp,data/k3_university/nghi-dinh-81-2021-nd-cp.md,Nghị định 81/2021/NĐ-CP - Quy định về học phí và chính sách miễn giảm học phí,https://thuvienphapluat.vn/van-ban/Giao-duc/Nghi-dinh-81-2021-ND-CP-quy-dinh-ve-co-che-thu-quan-ly-hoc-phi-oi-voi-co-so-giao-duc-485640.aspx,2026-08-03,81/2021/NĐ-CP,public-page
nghi-dinh-97-2023-nd-cp,data/k3_university/nghi-dinh-97-2023-nd-cp.md,Nghị định 97/2023/NĐ-CP - Sửa đổi bổ sung Nghị định 81/2021/NĐ-CP về học phí,https://thuvienphapluat.vn/van-ban/Giao-duc/Nghi-dinh-97-2023-ND-CP-sua-doi-Nghi-dinh-81-2021-ND-CP-hoc-phi-co-so-giao-duc-591866.aspx,2026-08-03,97/2023/NĐ-CP,public-page
quy-dinh-canh-bao-hoc-tap,data/k3_university/quy-dinh-canh-bao-hoc-tap.md,Quy định Cảnh báo Học tập và Buộc thôi học Sinh viên,https://example.edu/hoc-vu/quy-dinh-canh-bao-hoc-tap,2026-08-03,2026.1,public-page
quy-che-hoc-bong-khuyen-khich,data/k3_university/quy-che-hoc-bong-khuyen-khich.md,Quy chế Xét cấp Học bổng Khuyến khích Học tập,https://example.edu/ctsv/quy-che-hoc-bong-khuyen-khich,2026-08-03,2026.1,public-page
quy-trinh-dang-ky-rut-hoc-phan,data/k3_university/quy-trinh-dang-ky-rut-hoc-phan.md,Quy trình Đăng ký Học phần và Rút Học phần Muộn,https://example.edu/hoc-vu/quy-trinh-dang-ky-rut-hoc-phan,2026-08-03,2026.1,public-page
quy-dinh-dang-ky-ky-tuc-xa,data/k3_university/quy-dinh-dang-ky-ky-tuc-xa.md,Quy định Quản lý và Xét duyệt Đăng ký Ký túc xá Sinh viên,https://example.edu/ktx/quy-dinh-dang-ky-ky-tuc-xa,2026-08-03,2026.1,public-page
quy-dinh-khen-thuong-ky-luat,data/k3_university/quy-dinh-khen-thuong-ky-luat.md,Quy định Khen thưởng và Xử lý Vi phạm Kỷ luật Sinh viên,https://example.edu/ctsv/quy-dinh-khen-thuong-ky-luat,2026-08-03,2026.1,public-page
